'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'tests.reports.businessReport.PatientReportExportTests.usageRecentDaysDelayed', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'Carlos', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\Carlos\\20200924T195016Z-PatientReportExportTests-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC12186 TC12187 TC12188 TC12190 tests.reports.businessReport.PatientAdherenceBusinessReport.adherenceSortPeriodNoHospitalizationDirect', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC12217 TC12230 tests.reports.businessReport.PatientAdherenceBusinessReport.adherenceIdentityDelayed', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC4883 tests.auth.external.F3068_PhysicianStaffAccessToExternalPatient.scenario1_assignPhysicianToExternalPatientFromAuthorizedExternalOrg_ExternalAccessConfigFeatureOff', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC4876 TC4883 tests.auth.external.F3068_PhysicianStaffAccessToExternalPatient.scenario8_assignPhysicianToExternalPatientFromExternalSubOrg_TopOrgAuthorized', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC12193 TC12216 TC12230 tests.reports.businessReport.PatientAdherenceBusinessReport.headerTranslationsDelayed', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC4279 tests.auth.external.OrgExternalAuthorizedLocationsList.testGetAuthorizedLocations_Pagination', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'tests.reports.businessReport.PatientReportExportTests.permissionDelayedReport', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC3767 F1971_Exclude_Locations_And_Users_From_Care_Team_Assignment.careTeamSearch_ExcludedSubSubOrgNotInResults', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC4144 TC6177 tests.reports.businessReport.PatientReportExportTests.patientFilterSetupDateDelayed', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2815 tests.task.reminder.Reminders.Test_DoNot_Create_ReminderTask_For_InActivePatient_When_ReminderGroup_Is_Linked_To_Patient', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC4276 tests.auth.external.OrgExternalAuthorizedLocationsList.testGetAuthorizedLocationsAddresses', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'F1971_Exclude_Locations_And_Users_From_Care_Team_Assignment.physicianAcceptingPatients_FromSubOrgNotAcceptingPatients_FromTopOrgAcceptingPatients_ReturnedInCareTeamSearchResults', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC4876 TC4883 tests.auth.external.F3068_PhysicianStaffAccessToExternalPatient.OtherPatientsCreatedAfterPhysicianStaffAccessGrantedToExistingPatient_NoAccessToPatientForPhysicianStaff', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'DE3463 tests.auth.external.OrgExternalAuthorizedLocationsList.authorizeAndAssignSubOrganizationNotReceivingExternalPatientsToPatientAsCareTeamMember', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC4153 TC5927 TC5935 tests.reports.businessReport.PatientReportsTests.OnGoingCompliance_FilterSearch', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2753 TC2761 TC4415 tests.task.reminder.Reminders.Test_DoNot_Create_ReminderTask_If_Reminder_Is_Disabled_From_ReminderGroup', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2767 TC4415 tests.task.reminder.Reminders.Test_Update_Future_ReminderTask_After_Reminder_Is_Updated', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2254 TC4157 tests.reports.businessReport.PatientReportExportTests.careTeamDelayedReport', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2983 TC3039 TC3125 F1075_Business_Agreements_Management.pSAdminResendsDeclinedAgreements', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'F1971_Exclude_Locations_And_Users_From_Care_Team_Assignment.physicianAcceptingPatientsFromOrganizationAcceptingPatientsReturnedInCareTeamSearchResults', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2979 TC2984 TC2989 TC2993 TC3042 TC3160 F1075_Business_Agreements_Management.orgAdminAcceptsRequiredOrOptionalOrNoticeAgreements', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC11082 tests.reports.businessReport.PatientReportExportTests.dataSourceFilterDirect', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2759 TC4415 tests.task.reminder.Reminders.Test_Delete_Current_ReminderTask_After_ReminderGroup_Is_Removed_From_Patient', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2958 tests.reports.businessReport.PatientReportExportTests.sortCustomFieldsDirectReport', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC3739 TC3740 tests.auth.external.UserAndGroupCascadingExternalAuthorization.tc3739Andtc3740_verifyCurrentAuthorizationsBulkRetrieval', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC4876 TC4883 tests.auth.external.F3068_PhysicianStaffAccessToExternalPatient.scenario19_assignLocationToExternalPatient_SomeSubOrgsAuthorized', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2176 F1159_F3084_Add_Non_Device_Equipment.humidifiersAssignedToPatient', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'tests.reports.businessReport.PatientAdherenceBusinessReport.translationsDirect', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC5937 TC11848 tests.reports.businessReport.PatientReportExportTests.locationFilterAfterEnablingToggle', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2772 TC4415 tests.task.reminder.Reminders.Test_DoNot_Create_ReminderTasks_If_ReminderGroup_Is_Deleted', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC3813 F1971_Exclude_Locations_And_Users_From_Care_Team_Assignment.careTeamMemberHasAccessToPreviouslyAssignedPatientAfterBeingUpdatedToExcludeReferralPatients', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC4876 TC4883 tests.auth.external.F3068_PhysicianStaffAccessToExternalPatient.scenario29_assignedPhysicianToExternalPatient_ExternalAccessConfigurationFeatureDisabled', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2777 TC4415 tests.task.reminder.Reminders.Test_DoNot_Delete_Open_ReminderTask_After_Reminder_Is_Disabled', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2774 TC4415 tests.task.reminder.Reminders.Test_DoNot_Delete_Open_ReminderTask_After_ReminderGroup_Is_Disabled', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC5781 tests.auth.external.F3807_F3063_TemporaryAccessToPatients_CardDownload.patientOrgAdmin_AuthorizesOrgOf_UserWithTempAccess_ThatHasBeenAssignedToPatientAsCareTeamMember', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC1644 F1926_CareTeamAssignment_TextSearch_InternalUsers.searchForUsersFromSubOrgsFromTopOrgAndSubOrgContext', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC3233 F1398_PAMS_and_CTM.searchForAuthorizationsFromOrgWithPamsFeatureEnabledShouldReturnPamsOrg', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC1659 TC2601 TC3232 TC3240 TC3245 TC3251 TC3607 F1398_PAMS_and_CTM.enrollNewPatientInPAMS', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2982 F1075_Business_Agreements_Management.pSAdminAttemptsToRemoveResentAgreement', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC1644 TC1648 TC2599 TC2603 F1926_CareTeamAssignment_TextSearch_InternalUsers.searchForActiveClinicians', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC4144 TC6177 TC12228 tests.reports.businessReport.PatientAdherenceBusinessReport.adherenceFilterSetupDateDelayed', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC2990 F1075_Business_Agreements_Management.userOtherThanAdminCanLoginWithoutOptionalOrNoticeAgreementAccepted', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC4673 F1159_F3084_Add_Non_Device_Equipment.patientWithHumidifiersOnly_NoMaskInPatientDetails', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
'Error:': 'Automatic test entry invalid status for trace', 'Test Name': 'TC4876 TC4883 tests.auth.external.F3068_PhysicianStaffAccessToExternalPatient.scenario33_assignedPhysiciansFromTopOrgAndCardDownloadAuthorizedSubOrg', 'Test Status': 'Skipped', 'Release': '1.33.0', 'V&V Test Report': '2228014 v51', 'RC': 'RC1', 'Owner': 'TeamCity', 'File Path': '..\\data\\ER2228014 v51 ATT2 Automated as-run\\1.33.0\\RestApiTests\\RC1\\TeamCity\\20200923T024444Z-LegacyTrace-GroupByMethod.txt'
